wavelength (nm),sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,More Wavelength,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18
422.9,0.447170934,0.220062,0.246419636,0.142270473,0.131311815,0.126691195,0.103593882,0.074273826,0.045034926,424.2,0.414800163,0.28373061,0.195642442,0.140642302,0.126898884,0.088911803,0.664428681,0.484732615,0.234181805
423.8,0.425348026,0.210485787,0.235209955,0.138645539,0.128946391,0.124860711,0.102186285,0.073527557,0.044751613,425.1,0.392762271,0.270021542,0.188577255,0.139861877,0.126818454,0.08951348,0.631511702,0.46020733,0.22413686
424.6,0.404216726,0.200053445,0.225129415,0.135592895,0.126505736,0.123331879,0.101327637,0.07257963,0.044227194,426,0.372389205,0.25728256,0.1812878,0.139351226,0.126542607,0.08977542,0.600407533,0.435985859,0.214725587
425.5,0.383504464,0.191800004,0.214732114,0.132174722,0.12534595,0.122137711,0.100513668,0.07202764,0.043966092,426.9,0.353570581,0.244938171,0.174391777,0.139081334,0.126319987,0.090213617,0.569880593,0.413622053,0.205902501
426.4,0.363436764,0.18354119,0.205723138,0.12925676,0.124015867,0.121530987,0.100475181,0.071548942,0.043474474,427.8,0.335904894,0.233459353,0.168433165,0.138570842,0.126101201,0.090080132,0.541076704,0.39200891,0.198196676
427.2,0.345305126,0.176474319,0.197077555,0.126584287,0.122744749,0.120588447,0.100067931,0.071285224,0.043453808,428.7,0.318631548,0.222238997,0.163044044,0.137711947,0.125555777,0.090207401,0.513637341,0.372300583,0.190745905
428.1,0.328395084,0.168814244,0.189515416,0.124231843,0.121334062,0.119580984,0.100188497,0.071050948,0.043668729,429.6,0.302300692,0.212466407,0.15786329,0.136979299,0.125364543,0.089714692,0.488115989,0.352943454,0.184062278
428.9,0.312233902,0.162062445,0.182455881,0.122160335,0.119826845,0.119140219,0.099545885,0.071018717,0.043531154,430.5,0.286287698,0.20284205,0.152750476,0.13678187,0.124693062,0.089508532,0.462823573,0.334851474,0.176961896
429.8,0.296773707,0.155596752,0.175355579,0.120199438,0.118516665,0.118758566,0.099514338,0.070498341,0.04327798,431.4,0.271877081,0.194310887,0.148693013,0.136883922,0.124594488,0.089975889,0.440686924,0.317413374,0.171092249
430.6,0.282403164,0.150075811,0.169150664,0.118423712,0.117071396,0.118429429,0.099438378,0.070441403,0.042429979,432.3,0.258593869,0.186339596,0.144616871,0.137376973,0.125140993,0.09083381,0.419794917,0.302222814,0.165737698
431.5,0.269300484,0.144694722,0.162455997,0.116052963,0.11553185,0.117590961,0.098924568,0.06978408,0.041878158,433.2,0.246341832,0.178413146,0.140552713,0.137749455,0.12609732,0.091629675,0.400700094,0.287890929,0.160454031
432.3,0.25726502,0.140533553,0.157205481,0.114269886,0.115181822,0.116946368,0.098774432,0.069950731,0.041837162,434.1,0.235140284,0.171855971,0.136695839,0.138448278,0.127159325,0.092157073,0.381902066,0.275583304,0.155992606
433.2,0.246167808,0.136211527,0.151806999,0.112818886,0.114703862,0.116616399,0.09808497,0.069387325,0.042016303,435,0.224374907,0.164671995,0.133038579,0.138381107,0.1265871,0.092272464,0.363961101,0.263015859,0.150771825
434,0.23566079,0.132071545,0.14695553,0.11171341,0.114308965,0.115992973,0.097973603,0.069429374,0.042036004,435.9,0.215256058,0.158766599,0.130058712,0.138109591,0.127289802,0.092524777,0.347483259,0.25158277,0.147195132
434.9,0.225370109,0.127738943,0.141852085,0.1108573,0.113578479,0.115638873,0.097762228,0.069266488,0.042088218,436.8,0.206342808,0.153024775,0.127308768,0.137902121,0.127526577,0.093017661,0.332980746,0.240754532,0.142969491
435.7,0.215837909,0.123647193,0.137367586,0.109574774,0.11239223,0.114842598,0.09822001,0.069375536,0.04143416,437.7,0.198825627,0.14870208,0.125512626,0.138314578,0.12875587,0.094217418,0.320649561,0.231855897,0.140203728
436.6,0.207680534,0.121060937,0.134135074,0.109157619,0.112348124,0.115133347,0.099296931,0.069430266,0.041984861,438.6,0.191420148,0.144700739,0.12337875,0.138929418,0.128695607,0.09536117,0.309233726,0.222950654,0.136822265
437.5,0.200475001,0.117907822,0.130822896,0.107942372,0.111615638,0.114574545,0.099415143,0.069668993,0.041642495,439.5,0.184761963,0.140615166,0.120975962,0.139407548,0.129208962,0.096174107,0.298192785,0.214786051,0.13457047
438.3,0.193573712,0.115754323,0.127997257,0.107130285,0.112228856,0.114729871,0.099341697,0.070593229,0.041920577,440.4,0.178817305,0.137535094,0.118889066,0.139627268,0.12958461,0.096800976,0.28771462,0.207206671,0.132173344
439.2,0.186381822,0.112478374,0.124527499,0.106009916,0.11124512,0.113793548,0.099162938,0.071126013,0.041600285,441.3,0.173268731,0.134349227,0.117188363,0.14020339,0.130985409,0.097293352,0.278171726,0.200618569,0.130230377
440,0.180595128,0.110699282,0.122394109,0.105812761,0.111149874,0.114517959,0.100111806,0.071941663,0.042157317,442.1,0.168445034,0.131578181,0.116397302,0.141262228,0.132148513,0.09808464,0.269849174,0.194928312,0.127995587
440.9,0.175725505,0.108307992,0.119697058,0.105832893,0.110271236,0.114729037,0.100897516,0.071911674,0.042375997,443,0.16296301,0.128499624,0.114959853,0.141911693,0.133475077,0.099177444,0.261546259,0.189150572,0.126226967
441.7,0.171684544,0.107175206,0.117651262,0.105938437,0.110962172,0.115069507,0.101736936,0.072705343,0.042698749,443.9,0.158296863,0.125900982,0.113652223,0.141887759,0.134316448,0.099944879,0.253843577,0.184302362,0.124196841
442.6,0.16719706,0.105320384,0.114556707,0.10558295,0.111351398,0.114795845,0.102025716,0.073272372,0.042398156,444.8,0.154461992,0.123522384,0.111930094,0.141499531,0.135142704,0.100020988,0.246246305,0.179081265,0.122433719
443.4,0.163167238,0.104609324,0.112296227,0.105447106,0.111553083,0.114901591,0.102408289,0.074108608,0.042771534,445.7,0.151589845,0.121581519,0.110541286,0.142356797,0.136521477,0.100969347,0.239832448,0.174416346,0.121095265
444.3,0.159307215,0.102951689,0.110453416,0.105172877,0.111703093,0.115800077,0.103523691,0.074867118,0.043573182,446.6,0.148512371,0.120217905,0.109592163,0.144056919,0.13800116,0.101912071,0.234509016,0.170506584,0.120244489
445.1,0.155566299,0.101980167,0.108894204,0.10453185,0.111328447,0.115986191,0.104392012,0.075850389,0.044331964,447.5,0.145006589,0.118346725,0.108550583,0.145288453,0.139734214,0.103630546,0.228600113,0.166210151,0.119209766
446,0.152117446,0.100120322,0.107451823,0.104321803,0.111777912,0.116574933,0.10537113,0.077167746,0.044974885,448.4,0.141427445,0.11646962,0.108136053,0.146149171,0.140945777,0.103968703,0.223519163,0.162933246,0.117809763
446.8,0.148923722,0.099472047,0.106690163,0.104076641,0.111632113,0.116908698,0.106076492,0.078707997,0.045238195,449.3,0.139370058,0.114410275,0.107519474,0.146982603,0.143341962,0.105316314,0.21812995,0.159328735,0.116648634
447.7,0.146576173,0.098513907,0.106082558,0.104076416,0.112143898,0.11845589,0.107782247,0.080188461,0.045919378,450.2,0.136925237,0.112986356,0.107035614,0.147679668,0.144872858,0.106398193,0.213866595,0.156775108,0.115526387
448.5,0.144201096,0.098393825,0.105275566,0.104539705,0.112655642,0.119163543,0.109767041,0.081803404,0.047014719,451.1,0.13501334,0.110939531,0.106238598,0.148789743,0.146623425,0.107814121,0.209102293,0.153544074,0.114984371
449.4,0.142422389,0.097461268,0.103525988,0.104251818,0.112808469,0.119935343,0.110958586,0.083400069,0.04754366,452,0.132169676,0.109249223,0.105367677,0.149747723,0.147723127,0.109236054,0.204831202,0.150895901,0.11403299
450.3,0.139610336,0.096880685,0.102187526,0.104144769,0.112798182,0.119740518,0.112387828,0.084860556,0.04819154,452.9,0.129772315,0.107679225,0.104444586,0.151768003,0.150303973,0.110240435,0.200858104,0.148191274,0.113182631
451.1,0.13740009,0.095744195,0.101353237,0.103769508,0.113198234,0.120391946,0.114930122,0.08650975,0.048451761,453.8,0.126864787,0.106609485,0.103670098,0.15309208,0.15198488,0.111075309,0.196405756,0.145221911,0.11181589
452,0.134700293,0.094988628,0.100652383,0.104254331,0.113839677,0.120859995,0.117153013,0.08795666,0.049266166,454.7,0.123881299,0.105593921,0.102876618,0.154221193,0.153789132,0.111813343,0.192343364,0.142584792,0.110404751
452.8,0.132558332,0.09409525,0.100424656,0.104656268,0.114410772,0.121673027,0.119232999,0.089862924,0.050087766,455.6,0.121634616,0.103726333,0.101825304,0.155253053,0.155400649,0.112771163,0.1872825,0.139477771,0.108942145
453.7,0.130161822,0.0938,0.09919714,0.10462178,0.11442017,0.122876998,0.120565886,0.091758915,0.051499793,456.5,0.118915501,0.102045109,0.100641758,0.156979343,0.1578429,0.114369285,0.183231978,0.136373968,0.107685025
454.5,0.128132026,0.093096478,0.098458088,0.105203129,0.114610665,0.124042175,0.12219572,0.094257591,0.052417424,457.4,0.116879041,0.099954055,0.099787224,0.157975519,0.159160336,0.116053698,0.178679515,0.132291839,0.106717885
455.4,0.125665842,0.092243092,0.097541581,0.105030179,0.11473185,0.125312957,0.124192924,0.096211078,0.053030605,458.3,0.114593141,0.099031939,0.099336987,0.159183817,0.161195315,0.118055965,0.175667286,0.129345281,0.106131347
456.2,0.122649564,0.091131944,0.097196486,0.105136112,0.114681053,0.125589708,0.125928101,0.097801983,0.053358972,459.2,0.112647967,0.098441102,0.099556451,0.159770566,0.163011545,0.119583144,0.171926846,0.127762781,0.10521592
457.1,0.12039556,0.090929765,0.096433078,0.105177759,0.115073983,0.126759305,0.128683561,0.099263036,0.054634769,460.1,0.110632959,0.097446125,0.098893559,0.161070865,0.165857468,0.120990433,0.16814872,0.126185301,0.104255563
457.9,0.117261552,0.089906077,0.094696102,0.104955379,0.114693899,0.127063053,0.130107686,0.10061171,0.055336007,461,0.108389493,0.096120298,0.098423361,0.162318109,0.166640668,0.121665868,0.164090618,0.124020593,0.10296261
458.8,0.114951397,0.089330908,0.093698147,0.105639831,0.11508588,0.128381521,0.132936289,0.102788097,0.056641296,461.9,0.107079672,0.094873176,0.097152331,0.16401329,0.169139678,0.122875162,0.160065508,0.120817696,0.102438577
459.6,0.112433684,0.088076219,0.092870229,0.105511401,0.115846843,0.129255192,0.134986749,0.105355388,0.057268213,462.8,0.104680546,0.094003949,0.096281819,0.166147144,0.171007106,0.123452332,0.155836899,0.117999584,0.101396406
460.5,0.110826251,0.08801859,0.092599281,0.106700197,0.116724221,0.130936944,0.137131904,0.107629388,0.058777382,463.7,0.102463386,0.092600338,0.096521519,0.167777516,0.17380507,0.124986888,0.151305872,0.114884836,0.10064206
461.4,0.108876408,0.08712957,0.091821044,0.106297238,0.117623364,0.13213588,0.13899034,0.109571936,0.059280371,464.6,0.099689163,0.090673527,0.096180941,0.168723767,0.17545769,0.126295462,0.146781887,0.111755351,0.099308947
462.2,0.106513717,0.086531027,0.091141935,0.106948415,0.118362954,0.132974482,0.141159495,0.111204531,0.060021817,465.5,0.097201485,0.089031704,0.096232693,0.169514859,0.177875532,0.127578936,0.143578003,0.109166547,0.098707314
463.1,0.103798324,0.085658084,0.089953534,0.107085852,0.119563826,0.134357812,0.143828476,0.11350498,0.060687372,466.4,0.094962271,0.087940027,0.094837784,0.170047303,0.18043785,0.128719553,0.139227199,0.106605496,0.097780494
463.9,0.101459423,0.085036712,0.088861716,0.108277364,0.120949472,0.136085302,0.145910412,0.115703982,0.061230419,467.3,0.093101929,0.086279282,0.094347521,0.17167198,0.18274381,0.129209447,0.135352316,0.104295387,0.096784324
464.8,0.099253893,0.083923573,0.088334584,0.10803422,0.122045889,0.138659458,0.149167154,0.118089297,0.062170941,468.2,0.091741242,0.08540645,0.09390597,0.173964027,0.185621567,0.130545136,0.129976336,0.101550389,0.096329064
465.6,0.097413914,0.082848097,0.088020145,0.108806145,0.122503601,0.140291257,0.151916962,0.120636418,0.063057368,469.1,0.08926893,0.084251826,0.092630967,0.175807022,0.187853938,0.13191645,0.125660203,0.098832037,0.09552413
466.5,0.095472944,0.082386103,0.087324217,0.108809758,0.122975848,0.141731388,0.153880666,0.123026499,0.063890992,470,0.087185048,0.083659829,0.092604272,0.177571365,0.191018694,0.134214858,0.121216523,0.096329079,0.095528516
467.3,0.09284431,0.082154672,0.085574363,0.109237731,0.123685157,0.141981537,0.155747728,0.125406681,0.064571079,470.9,0.084908183,0.08279616,0.092192079,0.178760544,0.193452877,0.136423358,0.117735379,0.093089647,0.095023191
468.2,0.09052798,0.08207063,0.084480112,0.109621932,0.125448802,0.143719935,0.15848782,0.127938134,0.065725606,471.8,0.083324958,0.081770136,0.09347374,0.181388318,0.196762177,0.138529144,0.113945637,0.090871639,0.094890879
469,0.087997996,0.081369041,0.083741602,0.110790174,0.126919597,0.145861923,0.162522642,0.130874798,0.067619356,472.7,0.081017363,0.08085232,0.092803042,0.183703697,0.200178112,0.139827461,0.110092315,0.088115665,0.094212629
469.9,0.085791952,0.081187105,0.083187137,0.112314317,0.128367172,0.148522325,0.165806315,0.133717354,0.06932207,473.6,0.07956909,0.079733714,0.092901428,0.18668582,0.203767042,0.142167616,0.105644789,0.086701093,0.093697718
470.7,0.084305083,0.08077357,0.082677886,0.113111195,0.130496979,0.150637782,0.169885689,0.137250514,0.071223037,474.5,0.078303767,0.079252574,0.092089205,0.189101495,0.207651162,0.144210887,0.101672539,0.08472745,0.093910172
471.6,0.082359964,0.080735376,0.081686835,0.113884486,0.131916006,0.153047711,0.173332068,0.140560379,0.072493215,475.4,0.077276892,0.078482771,0.093163379,0.192217246,0.211907297,0.146427765,0.098547314,0.083431517,0.09422022
472.5,0.080523447,0.079926271,0.08073456,0.114854718,0.133098213,0.155227029,0.176984453,0.144567561,0.07403307,476.2,0.074992583,0.077320258,0.093005917,0.194826679,0.215776358,0.148368089,0.095593495,0.08143154,0.093464604
473.3,0.078260727,0.080147035,0.080128,0.116448645,0.134483314,0.15760542,0.180586494,0.148169193,0.075504826,477.1,0.072653392,0.076198066,0.092932433,0.198080715,0.220277795,0.150456786,0.092209284,0.078679339,0.092209031
474.2,0.076240051,0.080227818,0.080011256,0.117855413,0.135908859,0.15981916,0.184310227,0.1524748,0.077520377,478,0.070965953,0.075415908,0.092480347,0.201788621,0.22487009,0.153351691,0.08915817,0.076685789,0.092024649
475,0.074612467,0.08049534,0.080049065,0.119022697,0.138674883,0.163165859,0.18966651,0.156439286,0.079110555,478.9,0.070075528,0.075055862,0.093077526,0.205286237,0.230249335,0.156066394,0.086315529,0.074692095,0.092661219
475.9,0.073303398,0.079871735,0.079807712,0.119680241,0.140249014,0.166338103,0.19434986,0.160826629,0.080990915,479.8,0.069081402,0.075105379,0.093973984,0.209731758,0.236153522,0.159587091,0.084364619,0.074324353,0.093871198
476.7,0.071955094,0.079358196,0.079559879,0.120791718,0.143038319,0.170374082,0.199907055,0.165604593,0.082659201,480.7,0.067820409,0.074406241,0.093934493,0.213274176,0.240864872,0.162461996,0.081789338,0.072300745,0.094220181
477.6,0.070397844,0.079521391,0.079343687,0.122305061,0.144593911,0.17359068,0.204694831,0.169773648,0.084681546,481.6,0.066883468,0.074061001,0.094339732,0.217489109,0.246662631,0.165148142,0.079316298,0.070918974,0.09484169
478.4,0.068749437,0.079718689,0.079134624,0.124301796,0.147779677,0.17684916,0.21081972,0.17495625,0.086838313,482.5,0.065889835,0.072951697,0.094863759,0.221466509,0.251620376,0.167954596,0.076464745,0.069246725,0.094475209
479.3,0.06785275,0.08074004,0.079198559,0.125982304,0.150647391,0.180286123,0.216678677,0.17981607,0.089779906,483.4,0.065008226,0.072998565,0.095978042,0.225622033,0.258117949,0.17240505,0.074257224,0.068604667,0.094481412
480.1,0.066823519,0.080995785,0.079281549,0.127856637,0.153375322,0.18372861,0.222786674,0.185556319,0.092694411,484.3,0.06401376,0.072684285,0.096254995,0.230482234,0.264542423,0.176862076,0.072493327,0.068399783,0.095376737
481,0.065320103,0.081651256,0.079470825,0.129663463,0.155471049,0.188045881,0.228312925,0.190453338,0.094769422,485.2,0.062884959,0.072381029,0.096673003,0.234495083,0.270996555,0.180587587,0.070101039,0.067118983,0.095987209
481.8,0.063862808,0.080720345,0.079735242,0.131382529,0.157414214,0.191682197,0.234275396,0.196389795,0.09684016,486.1,0.061939683,0.072481714,0.097487787,0.239497778,0.276802139,0.183468018,0.068802033,0.066915477,0.097188754
482.7,0.062320729,0.080616712,0.080288778,0.133139798,0.160147416,0.19592407,0.239746499,0.201816886,0.098799509,487,0.061182062,0.07303271,0.098950631,0.244123129,0.282864606,0.186363469,0.0672276,0.065925637,0.098260181
483.5,0.062293268,0.080903631,0.081136661,0.136045298,0.163502539,0.199995957,0.246178357,0.208067751,0.10199416,487.9,0.06145803,0.074107702,0.100161243,0.249442296,0.289486702,0.190446113,0.066619317,0.066110168,0.10005712
484.4,0.061565489,0.082491188,0.08158631,0.138149937,0.167123712,0.204356283,0.252092772,0.212646418,0.104819273,488.8,0.06177119,0.074851518,0.101386638,0.254819468,0.296399392,0.194695455,0.065379728,0.06564772,0.101813356
485.3,0.061378543,0.083634972,0.082507229,0.140419049,0.170603727,0.208629309,0.258854917,0.218337439,0.108049611,489.7,0.061925437,0.075286653,0.102657333,0.260620395,0.302975148,0.199744583,0.06421065,0.065795665,0.102744981
486.1,0.060358334,0.08438482,0.083075102,0.142334434,0.173822138,0.213514018,0.266037496,0.22429102,0.110899105,490.6,0.061412235,0.075605854,0.104144442,0.266166453,0.309160517,0.204480695,0.062801047,0.065893086,0.104001831
